"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
65,12,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
66,12,0,0.510131919392333,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,1,1
67,12,1,0.0467957010626541,1,1,4.7269535854221,4.41260329168041,4.06251051780845,3.71814076881752,3.22571801265682,2.52317401136179,1.6929185879433,0.844093101828011,0,0,0,1,1
68,13,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
69,13,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
70,13,0,0.612252815678183,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
71,13,1,0.148916597348504,1,1,2.15117806801572,1.83682777427404,1.48673500040207,1.14236525141115,0.649942495250446,0,0,0,0,0,0,1,1
72,14,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
73,14,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
74,14,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
75,14,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
76,14,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
77,14,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,1,1
78,14,0,0.926672436659358,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,1,1
79,14,0,0.926672436659358,1,1,6.48670705661551,6.17235676287382,5.82226398900186,5.47789424001093,4.98547148385023,4.2829274825552,3.4526720591367,2.60384657302142,1.61481821540785,0.45934291862223,0,1,1
80,14,0,0.926672436659358,1,1,7.41337949327487,7.09902919953318,6.74893642566122,6.40456667667029,5.91214392050959,5.20959991921456,4.37934449579606,3.53051900968078,2.54149065206721,1.38601535528159,0,1,1
81,14,0,0.926672436659358,1,1,8.34005192993422,8.02570163619253,7.67560886232057,7.33123911332965,6.83881635716894,6.13627235587392,5.30601693245542,4.45719144634013,3.46816308872657,2.31268779194095,0.361610166007736,1,1
82,14,0,0.569300515598914,1,1,9.26672436659358,8.95237407285189,8.60228129897993,8.25791154998901,7.7654887938283,7.06294479253328,6.23268936911478,5.38386388299949,4.39483552538593,3.23936022860031,1.2882826026671,1,1
