"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
47,4,0,0.926672436659358,1,1,19.4601211698465,19.0706097383305,18.7079308158203,18.318370845837,17.7469052673147,17.150128757826,16.383781032797,15.5772606862524,14.7245534451992,13.4808205820094,11.594304531885,0,1.03110552520243
48,4,0,0.926672436659359,1,1,20.3867936065059,19.9972821749898,19.6346032524797,19.2450432824964,18.673577703974,18.0768011944853,17.3104534694563,16.5039331229118,15.6512258818585,14.4074930186688,12.5209769685443,0,1.03110552520243
49,4,0,0.926672436659358,1,1,21.3134660431652,20.9239546116492,20.5612756891391,20.1717157191557,19.6002501406334,19.0034736311447,18.2371259061157,17.4306055595712,16.5778983185179,15.3341654553282,13.4476494052037,0,1.03110552520243
50,4,0,0.926672436659358,1,1,22.2401384798246,21.8506270483085,21.4879481257984,21.0983881558151,20.5269225772927,19.9301460678041,19.163798342775,18.3572779962305,17.5045707551772,16.2608378919875,14.374321841863,0,1.03110552520243
51,4,0,0.926672436659359,1,1,23.166810916484,22.7772994849679,22.4146205624578,22.0250605924745,21.4535950139521,20.8568185044634,20.0904707794344,19.2839504328899,18.4312431918366,17.1875103286469,15.3009942785224,0,1.03110552520243
52,4,0,0.47968017352661,1,1,24.0934833531433,23.7039719216273,23.3412929991171,22.9517330291338,22.3802674506114,21.7834909411228,21.0171432160938,20.2106228695492,19.3579156284959,18.1141827653062,16.2276667151818,0,1.03110552520243
53,4,0,0.0163439551969304,1,1,24.1261712635372,23.7366598320211,23.373980909511,22.9844209395277,22.4129553610053,21.8161788515166,21.0498311264876,20.2433107799431,19.3906035388898,18.1468706757001,16.2603546255756,0,1.03110552520243
54,5,0,0.463336218329679,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.14836447863346
55,5,0,0.888348637381569,0,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.14836447863346
56,5,1,0.425012419051889,0,1,1.77669727476314,1.38718584324708,1.02450692073696,0.634946950753643,0.0634813722312684,0,0,0,0,0,0,1,1.14836447863346
57,6,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.04211775734277
58,6,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.04211775734277
59,6,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.04211775734277
60,6,0,0.749105617972888,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.04211775734277
61,6,1,0.285769399643209,1,1,3.35155610926449,2.96204467774843,2.59936575523832,2.209805785255,1.63834020673262,1.04156369724396,0.275215972214938,0,0,0,0,1,1.04211775734277
62,7,0,0.101287195513852,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.54778694599896
63,7,1,0.101287195513852,1,1,0.202574391027704,0,0,0,0,0,0,0,0,0,0,1,2.54778694599896
64,8,0,0.463336218329679,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.04544772027892
65,8,0,0.926672436659358,0,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,1,1.04544772027892
66,8,0,0.926672436659358,0,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.04544772027892
67,8,0,0.926672436659358,0,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.04544772027892
68,8,0,0.926672436659358,0,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,1.04544772027892
69,8,0,0.926672436659358,0,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,1,1.04544772027892
70,8,0,0.774752266159629,0,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,1,1.04544772027892
